Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
San Diego,,SDG,"Guatemala, PetÈn (GT-PE)",16.91705,-90.469883
San Diego Becanchen,San Diego de Becanchen = San Diego bei Becanchen = San Diego Buenavista,SDB,"Mexiko, Yucat·n (MX-YUC)",19.857717,-89.291483
San Gervasio,,SNG," Mexiko, Quintana Roo (MX-ROO)",20.499973,-86.846276
San Joaqu√≠n,San Joaqu√≠n I,SJQ," Mexiko, Campeche (MX-CAM)",20.17066,-90.10644
San Joaqu√≠n II,,," Mexiko, Campeche (MX-CAM)",20.17343,-90.09892
San Lorenzo,,SLM," Mexiko, Campeche (MX-CAM)",18.382333,-89.5475
San Pedro Dzitbalche,,SPD," Mexiko, Campeche (MX-CAM)",20.19'25.2,-90.03526
San Simon Pueblo,San Simon = Hacienda San Simon,SSM,"Mexiko, Yucat·n (MX-YUC)",20.20283,-89.811
Santa B√°rbara,"Santa B√°rbara, Campeche = Santa Barbara (Paraiso)  = Santa Barbara (Yucat√°n) [Hacienda Paraiso] = El Para√≠so =  Hunanhil",SBB,"Mexiko, Yucat·n (MX-YUC)",20.70333,-90.11183
Santa Elena Balancan,,SEB,"Mexiko, Tabasco (MX-TAB)",17.625003,-91.414444
Santa Elena Poco Uinic,Poco Uinic,SEP,"Mexiko, Chiapas (MX-CHP)",16.587477,-91.739021
Santa Rita Corozal,Santa Rita,SRC,"Belize, Corozal (BZ-CZL)",18.40232,-88.395094
Santa Rita Xicalango,,SRG," Mexiko, Campeche (MX-CAM)",18.14'45.1,-92.00358
Santa Rosa Xtampak,Santa Rosa Xlabpak,SRX," Mexiko, Campeche (MX-CAM)",19.77258,-89.598232
Santo Domingo,,SDM,"Guatemala, PetÈn (GT-PE)",15.58'38.0,-89.44407
Sayil,,SAY,"Mexiko, Yucat·n (MX-YUC)",20.177985,-89.651939
Seibal,El Ceibal = Sactankiki = Saxtanquiqui,SBL,"Guatemala, PetÈn (GT-PE)",16.513575,-90.061565
Siho,,SHO,"Mexiko, Yucat·n (MX-YUC)",20.489802,-90.171916
SisilhaSisila,,SIS," Mexiko, Campeche (MX-CAM)",20.220726,-89.888846
